file;p
frame7028.png;(137, 203)
frame7029.png;(144, 77)
frame7030.png;(176, 139)
frame7031.png;(136, 144)
frame7032.png;(149, 125)
frame7033.png;(183, 76)
frame7034.png;(129, 168)
frame7035.png;(162, 128)
frame7036.png;(176, 79)
frame7037.png;(160, 76)
frame7038.png;(203, 154)
frame7039.png;(152, 189)
frame7040.png;(185, 187)
frame7041.png;(124, 118)
frame7042.png;(175, 62)
frame7043.png;(160, 57)
frame7044.png;(126, 91)
frame7045.png;(180, 90)
frame7046.png;(156, 171)
frame7047.png;(142, 194)
frame7048.png;(165, 30)
frame7049.png;(170, 153)
frame7050.png;(154, 182)
frame7051.png;(183, 122)
frame7052.png;(200, 115)
frame7053.png;(150, 204)
frame7054.png;(173, 131)
frame7055.png;(159, 61)
frame7056.png;(163, 29)
frame7057.png;(133, 199)
frame7058.png;(166, 51)
frame7059.png;(178, 65)
frame7060.png;(132, 110)
frame7061.png;(129, 105)
frame7062.png;(146, 58)
frame7063.png;(172, 204)
frame7064.png;(215, 129)
frame7065.png;(163, 29)
frame7066.png;(187, 100)
frame7067.png;(128, 77)
frame7068.png;(148, 77)
frame7069.png;(129, 94)
frame7070.png;(125, 121)
frame7071.png;(109, 82)
frame7072.png;(170, 84)
frame7073.png;(195, 109)
frame7074.png;(146, 79)
frame7075.png;(141, 86)
frame7076.png;(157, 188)
frame7077.png;(153, 33)
frame7078.png;(137, 27)
frame7079.png;(204, 134)
frame7080.png;(135, 68)
frame7081.png;(119, 144)
frame7082.png;(129, 94)
frame7083.png;(144, 90)
frame7084.png;(201, 136)
frame7085.png;(149, 76)
frame7086.png;(170, 151)
frame7087.png;(119, 148)
frame7088.png;(104, 78)
frame7089.png;(181, 172)
frame7090.png;(124, 150)
frame7091.png;(160, 80)
frame7092.png;(179, 159)
frame7093.png;(148, 123)
frame7094.png;(137, 103)
frame7095.png;(154, 199)
frame7096.png;(141, 164)
frame7097.png;(158, 62)
frame7098.png;(190, 127)
frame7099.png;(171, 101)
frame7100.png;(147, 45)
frame7101.png;(170, 135)
frame7102.png;(157, 59)
frame7103.png;(153, 44)
frame7104.png;(145, 122)
frame7105.png;(169, 159)
frame7106.png;(136, 140)
frame7107.png;(143, 151)
frame7108.png;(191, 155)
frame7109.png;(126, 178)
frame7110.png;(139, 107)
frame7111.png;(112, 90)
frame7112.png;(183, 81)
frame7113.png;(144, 174)
frame7114.png;(137, 101)
frame7115.png;(184, 90)
frame7116.png;(121, 153)
frame7117.png;(128, 196)
frame7118.png;(188, 83)
frame7119.png;(121, 102)
frame7120.png;(142, 44)
