file;valid;p1;p2;dist
frame8736.png;0;-1;-1;-1
frame8737.png;1;(206, 66); (152, 92); 118.1
frame8738.png;1;(187, 137); (172, 145); 35.8
frame8739.png;1;(215, 127); (199, 135); 30.9
frame8740.png;1;(208, 137); (189, 145); 41.8
frame8741.png;1;(202, 80); (187, 73); 35.8
frame8742.png;1;(217, 112); (207, 107); 22.8
frame8743.png;1;(228, 120); (215, 127); 29.5
frame8744.png;1;(210, 152); (151, 131); 123.1
frame8745.png;1;(218, 119); (187, 125); 63.3
frame8746.png;1;(215, 104); (208, 106); 16.5
frame8747.png;1;(192, 209); (172, 203); 47.8
frame8748.png;0;-1;-1;-1
frame8749.png;1;(183, 124); (176, 120); 15.7
frame8750.png;1;(204, 133); (193, 140); 28.2
frame8751.png;1;(196, 91); (192, 93); 9.4
frame8752.png;1;(196, 127); (193, 125); 8.9
frame8753.png;1;(232, 137); (222, 141); 21.5
frame8754.png;1;(211, 105); (203, 102); 16.8
frame8755.png;1;(172, 126); (132, 132); 85.7
frame8756.png;1;(225, 219); (197, 213); 50.8
frame8757.png;1;(201, 153); (181, 149); 35.7
frame8758.png;0;-1;-1;-1
frame8759.png;0;-1;-1;-1
frame8760.png;1;(228, 63); (204, 68); 47.3
frame8761.png;1;(213, 140); (195, 147); 38.1
frame8762.png;1;(207, 86); (190, 78); 40.2
frame8763.png;1;(210, 114); (194, 103); 40.0
frame8764.png;1;(205, 119); (193, 124); 25.5
frame8765.png;1;(181, 107); (165, 99); 34.9
frame8766.png;1;(227, 103); (215, 107); 26.2
frame8767.png;1;(203, 37); (184, 43); 44.6
frame8768.png;0;-1;-1;-1
frame8769.png;0;-1;-1;-1
frame8770.png;0;-1;-1;-1
frame8771.png;1;(189, 148); (173, 156); 35.4
frame8772.png;1;(237, 113); (218, 122); 43.5
frame8773.png;1;(208, 111); (189, 121); 39.8
frame8774.png;1;(203, 121); (186, 113); 38.5
frame8775.png;1;(208, 77); (187, 68); 42.0
frame8776.png;1;(214, 71); (198, 63); 34.9
frame8777.png;0;-1;-1;-1
frame8778.png;0;-1;-1;-1
frame8779.png;1;(222, 93); (208, 93); 25.0
frame8780.png;1;(180, 109); (149, 110); 57.1
frame8781.png;1;(218, 126); (191, 118); 54.4
frame8782.png;0;-1;-1;-1
frame8783.png;0;-1;-1;-1
frame8784.png;1;(212, 61); (193, 58); 42.2
frame8785.png;1;(218, 121); (199, 108); 46.6
frame8786.png;1;(204, 115); (184, 112); 36.3
frame8787.png;1;(236, 99); (224, 101); 24.3
frame8788.png;1;(202, 101); (174, 103); 61.1
frame8789.png;1;(183, 140); (150, 146); 66.1
frame8790.png;0;-1;-1;-1
frame8791.png;1;(210, 156); (194, 165); 38.9
frame8792.png;1;(213, 145); (197, 155); 36.7
frame8793.png;0;-1;-1;-1
frame8794.png;1;(188, 146); (151, 151); 75.8
frame8795.png;1;(186, 117); (161, 128); 55.7
frame8796.png;1;(185, 106); (175, 104); 20.4
frame8797.png;1;(230, 94); (203, 87); 56.8
frame8798.png;1;(215, 120); (191, 127); 48.7
frame8799.png;1;(175, 161); (157, 170); 41.1
frame8800.png;0;-1;-1;-1
frame8801.png;0;-1;-1;-1
frame8802.png;1;(194, 76); (178, 67); 41.6
frame8803.png;1;(206, 133); (185, 131); 42.2
frame8804.png;1;(188, 92); (163, 84); 52.5
frame8805.png;1;(211, 149); (189, 144); 47.1
frame8806.png;1;(220, 84); (192, 77); 53.2
frame8807.png;1;(211, 111); (203, 111); 17.0
frame8808.png;1;(173, 86); (117, 71); 132.9
frame8809.png;1;(173, 84); (114, 72); 128.7
frame8810.png;1;(209, 106); (199, 106); 19.0
frame8811.png;1;(194, 136); (174, 141); 46.3
frame8812.png;1;(217, 104); (195, 104); 44.0
frame8813.png;1;(203, 106); (174, 104); 57.2
frame8814.png;1;(205, 121); (185, 120); 37.1
frame8815.png;1;(223, 146); (194, 155); 58.8
frame8816.png;1;(203, 71); (184, 61); 38.1
frame8817.png;1;(166, 90); (147, 83); 43.0
frame8818.png;1;(206, 97); (183, 87); 47.0
frame8819.png;1;(173, 75); (155, 65); 42.5
frame8820.png;1;(203, 89); (167, 79); 67.9
frame8821.png;1;(220, 121); (204, 121); 28.0
frame8822.png;1;(200, 122); (174, 120); 53.2
frame8823.png;1;(196, 91); (170, 86); 51.8
frame8824.png;1;(196, 130); (185, 128); 24.3
frame8825.png;1;(180, 75); (162, 64); 40.2
frame8826.png;1;(198, 78); (180, 67); 43.4
frame8827.png;1;(161, 89); (107, 73); 111.9
frame8828.png;1;(178, 83); (130, 66); 101.2
frame8829.png;1;(199, 77); (177, 66); 42.0
frame8830.png;1;(210, 105); (188, 95); 43.8
frame8831.png;1;(210, 120); (201, 121); 20.1
frame8832.png;1;(202, 149); (176, 154); 57.6
frame8833.png;1;(202, 105); (181, 105); 43.0
frame8834.png;1;(213, 108); (187, 107); 46.0
frame8835.png;0;-1;-1;-1
frame8836.png;1;(195, 95); (179, 85); 42.9
frame8837.png;1;(177, 98); (141, 83); 73.9
frame8838.png;1;(165, 70); (132, 54); 73.8
frame8839.png;1;(171, 72); (152, 64); 41.6
frame8840.png;0;-1;-1;-1
frame8841.png;1;(196, 105); (182, 104); 31.1
frame8842.png;1;(205, 112); (184, 110); 48.1
frame8843.png;1;(209, 113); (186, 115); 44.2
frame8844.png;1;(188, 110); (169, 113); 41.3
frame8845.png;1;(218, 137); (188, 143); 61.2
frame8846.png;1;(182, 152); (157, 163); 60.5
frame8847.png;1;(173, 148); (154, 158); 42.1
frame8848.png;1;(205, 171); (181, 180); 42.0
frame8849.png;1;(197, 89); (172, 81); 45.7
frame8850.png;1;(198, 90); (170, 87); 60.4
frame8851.png;1;(194, 109); (172, 106); 42.6
frame8852.png;1;(218, 112); (189, 115); 53.2
frame8853.png;1;(194, 161); (174, 157); 41.8
frame8854.png;1;(182, 156); (156, 149); 61.8
frame8855.png;1;(194, 90); (178, 81); 35.4
frame8856.png;1;(213, 148); (197, 156); 32.8
frame8857.png;1;(203, 113); (196, 109); 18.0
frame8858.png;1;(232, 124); (222, 120); 22.8
frame8859.png;1;(215, 105); (212, 102); 8.6
frame8860.png;1;(203, 110); (199, 109); 8.5
frame8861.png;1;(212, 129); (208, 128); 7.3
frame8862.png;1;(192, 78); (185, 76); 12.6
frame8863.png;1;(225, 168); (214, 173); 24.6
frame8864.png;1;(217, 158); (203, 164); 28.6
frame8865.png;0;-1;-1;-1
frame8866.png;1;(208, 84); (188, 89); 41.5
frame8867.png;0;-1;-1;-1
frame8868.png;1;(205, 140); (191, 134); 29.1
frame8869.png;1;(228, 146); (209, 144); 32.4
frame8870.png;1;(232, 93); (218, 86); 29.2
frame8871.png;1;(222, 75); (209, 69); 29.5
frame8872.png;1;(189, 113); (182, 110); 14.8
frame8873.png;1;(206, 120); (198, 123); 16.2
frame8874.png;1;(187, 125); (176, 128); 23.1
frame8875.png;1;(181, 129); (170, 134); 20.2
frame8876.png;1;(206, 150); (192, 158); 30.9
frame8877.png;1;(188, 100); (178, 94); 24.2
frame8878.png;1;(230, 143); (216, 140); 26.7
frame8879.png;1;(200, 91); (123, 91); 148.0
frame8880.png;0;-1;-1;-1
frame8881.png;1;(210, 72); (196, 77); 32.6
frame8882.png;1;(210, 146); (192, 141); 36.1
frame8883.png;1;(195, 79); (180, 79); 32.1
frame8884.png;1;(220, 91); (208, 87); 23.8
frame8885.png;1;(209, 72); (202, 67); 17.5
frame8886.png;1;(183, 111); (176, 114); 14.9
frame8887.png;1;(191, 121); (186, 119); 12.1
frame8888.png;1;(210, 100); (203, 96); 14.8
frame8889.png;1;(222, 124); (219, 125); 6.7
frame8890.png;1;(222, 72); (210, 68); 27.2
frame8891.png;1;(192, 90); (185, 87); 16.6
frame8892.png;1;(192, 98); (166, 97); 52.0
frame8893.png;1;(189, 130); (178, 130); 22.0
frame8894.png;1;(192, 142); (176, 137); 32.9
frame8895.png;1;(198, 159); (190, 157); 20.4
frame8896.png;1;(199, 81); (180, 84); 39.5
frame8897.png;1;(218, 114); (207, 119); 18.8
frame8898.png;1;(203, 150); (194, 153); 16.2
frame8899.png;1;(220, 137); (217, 140); 7.1
frame8900.png;1;(205, 137); (201, 137); 8.2
frame8901.png;1;(218, 115); (213, 114); 7.6
frame8902.png;1;(208, 104); (206, 104); 4.0
frame8903.png;1;(192, 103); (189, 103); 6.1
frame8904.png;1;(217, 73); (212, 72); 8.2
frame8905.png;1;(202, 130); (191, 137); 30.4
frame8906.png;1;(185, 104); (174, 99); 23.4
frame8907.png;1;(187, 161); (172, 160); 32.0
frame8908.png;1;(208, 152); (195, 151); 30.1
frame8909.png;1;(169, 110); (78, 85); 83.9
frame8910.png;1;(183, 96); (159, 96); 24.0
