file;p
frame9198.png;(191, 104)
frame9199.png;(229, 91)
frame9200.png;(200, 79)
frame9201.png;(142, 130)
frame9202.png;(207, 74)
frame9203.png;(173, 130)
frame9204.png;(165, 129)
frame9205.png;(159, 94)
frame9206.png;(229, 157)
frame9207.png;(204, 131)
frame9208.png;(202, 58)
frame9209.png;(191, 147)
frame9210.png;(108, 94)
frame9211.png;(140, 154)
frame9212.png;(199, 55)
frame9213.png;(126, 112)
frame9214.png;(153, 111)
frame9215.png;(192, 120)
frame9216.png;(204, 140)
frame9217.png;(185, 142)
frame9218.png;(235, 83)
frame9219.png;(192, 153)
frame9220.png;(226, 139)
frame9221.png;(203, 134)
frame9222.png;(197, 123)
frame9223.png;(158, 140)
frame9224.png;(161, 104)
frame9225.png;(186, 188)
frame9226.png;(165, 87)
frame9227.png;(172, 164)
frame9228.png;(188, 75)
frame9229.png;(196, 47)
frame9230.png;(161, 132)
frame9231.png;(174, 187)
frame9232.png;(95, 92)
frame9233.png;(199, 78)
frame9234.png;(176, 114)
frame9235.png;(156, 80)
frame9236.png;(213, 155)
frame9237.png;(217, 138)
frame9238.png;(212, 129)
frame9239.png;(214, 148)
frame9240.png;(196, 69)
frame9241.png;(140, 107)
frame9242.png;(151, 181)
frame9243.png;(200, 165)
frame9244.png;(158, 134)
frame9245.png;(224, 147)
frame9246.png;(200, 70)
frame9247.png;(186, 194)
frame9248.png;(162, 129)
frame9249.png;(186, 74)
frame9250.png;(151, 97)
frame9251.png;(103, 108)
frame9252.png;(136, 112)
frame9253.png;(187, 90)
frame9254.png;(167, 116)
frame9255.png;(164, 130)
frame9256.png;(154, 154)
frame9257.png;(192, 146)
frame9258.png;(168, 126)
frame9259.png;(221, 136)
frame9260.png;(149, 126)
frame9261.png;(177, 100)
frame9262.png;(232, 93)
frame9263.png;(194, 81)
frame9264.png;(184, 84)
frame9265.png;(156, 116)
frame9266.png;(137, 101)
frame9267.png;(155, 134)
frame9268.png;(136, 113)
frame9269.png;(156, 100)
frame9270.png;(120, 126)
frame9271.png;(170, 152)
frame9272.png;(165, 93)
frame9273.png;(184, 87)
frame9274.png;(217, 82)
frame9275.png;(209, 151)
frame9276.png;(150, 136)
frame9277.png;(193, 66)
frame9278.png;(143, 108)
frame9279.png;(184, 149)
frame9280.png;(225, 161)
frame9281.png;(192, 148)
frame9282.png;(211, 155)
frame9283.png;(140, 127)
frame9284.png;(138, 117)
frame9285.png;(203, 169)
frame9286.png;(157, 175)
frame9287.png;(180, 134)
frame9288.png;(168, 129)
frame9289.png;(158, 133)
frame9290.png;(161, 141)
frame9291.png;(198, 155)
frame9292.png;(150, 133)
frame9293.png;(148, 115)
frame9294.png;(205, 63)
frame9295.png;(199, 139)
frame9296.png;(214, 93)
frame9297.png;(218, 127)
frame9298.png;(169, 131)
frame9299.png;(154, 133)
frame9300.png;(162, 80)
frame9301.png;(172, 130)
frame9302.png;(197, 151)
frame9303.png;(181, 84)
frame9304.png;(204, 175)
frame9305.png;(153, 107)
frame9306.png;(138, 99)
frame9307.png;(214, 83)
frame9308.png;(134, 112)
frame9309.png;(143, 88)
frame9310.png;(191, 128)
frame9311.png;(169, 135)
frame9312.png;(194, 125)
frame9313.png;(172, 180)
frame9314.png;(234, 53)
frame9315.png;(190, 153)
frame9316.png;(200, 153)
frame9317.png;(201, 152)
frame9318.png;(225, 81)
frame9319.png;(246, 152)
frame9320.png;(157, 138)
frame9321.png;(135, 100)
frame9322.png;(196, 159)
frame9323.png;(171, 191)
frame9324.png;(142, 112)
frame9325.png;(218, 132)
frame9326.png;(188, 96)
frame9327.png;(143, 128)
frame9328.png;(140, 127)
frame9329.png;(217, 100)
frame9330.png;(186, 102)
frame9331.png;(207, 139)
frame9332.png;(185, 124)
frame9333.png;(215, 83)
frame9334.png;(175, 100)
frame9335.png;(160, 114)
frame9336.png;(166, 122)
frame9337.png;(170, 92)
frame9338.png;(201, 93)
frame9339.png;(138, 123)
frame9340.png;(149, 96)
frame9341.png;(179, 93)
frame9342.png;(187, 122)
frame9343.png;(169, 93)
frame9344.png;(181, 175)
frame9345.png;(182, 64)
frame9346.png;(149, 121)
frame9347.png;(262, 133)
frame9348.png;(187, 87)
frame9349.png;(197, 158)
frame9350.png;(181, 138)
frame9351.png;(232, 94)
frame9352.png;(186, 144)
frame9353.png;(202, 158)
frame9354.png;(205, 68)
frame9355.png;(202, 138)
frame9356.png;(193, 136)
frame9357.png;(154, 130)
frame9358.png;(205, 67)
frame9359.png;(248, 42)
frame9360.png;(168, 107)
frame9361.png;(166, 103)
frame9362.png;(149, 86)
frame9363.png;(192, 147)
frame9364.png;(205, 136)
frame9365.png;(149, 84)
frame9366.png;(152, 123)
frame9367.png;(147, 82)
frame9368.png;(132, 138)
frame9369.png;(147, 118)
frame9370.png;(164, 112)
frame9371.png;(149, 104)
frame9372.png;(160, 109)
frame9373.png;(195, 159)
frame9374.png;(244, 97)
frame9375.png;(204, 177)
frame9376.png;(192, 81)
frame9377.png;(194, 162)
frame9378.png;(168, 162)
frame9379.png;(227, 171)
frame9380.png;(211, 145)
frame9381.png;(211, 139)
frame9382.png;(163, 114)
frame9383.png;(178, 145)
frame9384.png;(145, 119)
frame9385.png;(161, 136)
frame9386.png;(152, 150)
frame9387.png;(138, 118)
frame9388.png;(164, 121)
frame9389.png;(210, 92)
frame9390.png;(182, 73)
frame9391.png;(154, 69)
frame9392.png;(154, 145)
frame9393.png;(227, 199)
frame9394.png;(150, 115)
frame9395.png;(159, 113)
frame9396.png;(224, 74)
frame9397.png;(180, 136)
frame9398.png;(198, 151)
frame9399.png;(205, 86)
frame9400.png;(236, 95)
frame9401.png;(210, 102)
frame9402.png;(203, 55)
frame9403.png;(147, 142)
frame9404.png;(241, 76)
frame9405.png;(243, 149)
frame9406.png;(152, 169)
frame9407.png;(217, 97)
frame9408.png;(211, 154)
frame9409.png;(227, 160)
frame9410.png;(164, 122)
frame9411.png;(272, 62)
frame9412.png;(193, 162)
frame9413.png;(153, 113)
frame9414.png;(197, 51)
frame9415.png;(217, 84)
frame9416.png;(171, 158)
frame9417.png;(155, 124)
frame9418.png;(161, 127)
frame9419.png;(152, 106)
frame9420.png;(137, 127)
frame9421.png;(142, 107)
frame9422.png;(168, 124)
frame9423.png;(189, 170)
frame9424.png;(204, 85)
frame9425.png;(206, 83)
frame9426.png;(170, 176)
frame9427.png;(197, 79)
frame9428.png;(205, 100)
frame9429.png;(193, 99)
frame9430.png;(157, 112)
frame9431.png;(210, 70)
frame9432.png;(207, 164)
frame9433.png;(158, 101)
frame9434.png;(187, 117)
frame9435.png;(215, 70)
frame9436.png;(171, 133)
frame9437.png;(198, 146)
frame9438.png;(168, 119)
frame9439.png;(213, 142)
frame9440.png;(173, 130)
frame9441.png;(154, 123)
frame9442.png;(168, 111)
frame9443.png;(177, 171)
frame9444.png;(197, 172)
frame9445.png;(189, 152)
frame9446.png;(222, 142)
frame9447.png;(148, 124)
frame9448.png;(193, 148)
frame9449.png;(210, 166)
frame9450.png;(184, 156)
frame9451.png;(245, 147)
frame9452.png;(165, 120)
frame9453.png;(216, 98)
frame9454.png;(213, 155)
frame9455.png;(144, 103)
frame9456.png;(196, 86)
frame9457.png;(235, 85)
frame9458.png;(201, 83)
frame9459.png;(152, 112)
frame9460.png;(190, 95)
frame9461.png;(207, 148)
frame9462.png;(146, 124)
frame9463.png;(215, 93)
frame9464.png;(222, 157)
frame9465.png;(161, 105)
frame9466.png;(172, 96)
frame9467.png;(180, 168)
frame9468.png;(168, 144)
frame9469.png;(180, 131)
frame9470.png;(161, 110)
frame9471.png;(191, 155)
frame9472.png;(203, 73)
frame9473.png;(200, 70)
frame9474.png;(199, 165)
frame9475.png;(219, 65)
frame9476.png;(163, 81)
frame9477.png;(234, 100)
frame9478.png;(215, 146)
frame9479.png;(192, 97)
frame9480.png;(162, 141)
frame9481.png;(183, 51)
frame9482.png;(196, 132)
frame9483.png;(209, 139)
frame9484.png;(192, 168)
frame9485.png;(160, 150)
frame9486.png;(177, 116)
frame9487.png;(190, 120)
frame9488.png;(177, 156)
frame9489.png;(214, 83)
frame9490.png;(172, 104)
frame9491.png;(199, 165)
frame9492.png;(200, 107)
frame9493.png;(175, 125)
frame9494.png;(184, 74)
frame9495.png;(167, 135)
frame9496.png;(227, 152)
