file;valid;p1;p2;dist
frame1836.png;0;-1;-1;-1
frame1822.png;1;(251, 357);(357, 305);118.1
frame1765.png;1;(226, 192);(258, 176);35.8
frame1771.png;1;(232, 214);(259, 199);30.9
frame1759.png;1;(225, 200);(264, 185);41.8
frame1758.png;1;(229, 193);(262, 179);35.8
frame1770.png;1;(230, 211);(250, 200);22.8
frame1764.png;1;(231, 203);(257, 189);29.5
frame1823.png;1;(277, 329);(392, 285);123.1
frame1837.png;1;(246, 274);(308, 287);63.3
frame1809.png;1;(226, 291);(242, 287);16.5
frame1821.png;1;(239, 409);(285, 396);47.8
frame1835.png;0;-1;-1;-1
frame1772.png;1;(228, 218);(242, 211);15.7
frame1766.png;1;(230, 205);(255, 192);28.2
frame1799.png;1;(223, 271);(231, 266);9.4
frame1798.png;1;(227, 263);(235, 259);8.9
frame1767.png;1;(229, 213);(249, 205);21.5
frame1773.png;1;(228, 216);(244, 211);16.8
frame1834.png;1;(266, 259);(351, 270);85.7
frame1820.png;1;(224, 408);(274, 399);50.8
frame1808.png;1;(223, 293);(258, 286);35.7
frame1824.png;0;-1;-1;-1
frame1830.png;0;-1;-1;-1
frame1818.png;1;(225, 367);(271, 356);47.3
frame1777.png;1;(220, 227);(255, 212);38.1
frame1763.png;1;(232, 187);(268, 169);40.2
frame1788.png;1;(230, 200);(264, 179);40.0
frame1789.png;1;(237, 207);(260, 196);25.5
frame1762.png;1;(229, 181);(260, 165);34.9
frame1776.png;1;(224, 233);(249, 225);26.2
frame1819.png;1;(226, 398);(269, 386);44.6
frame1831.png;0;-1;-1;-1
frame1825.png;0;-1;-1;-1
frame1833.png;0;-1;-1;-1
frame1827.png;0;-1;-1;-1
frame1748.png;1;(234, 177);(265, 160);35.4
frame1760.png;1;(220, 212);(260, 195);43.5
frame1774.png;1;(235, 218);(271, 201);39.8
frame1775.png;1;(227, 232);(262, 216);38.5
frame1761.png;1;(223, 190);(261, 172);42.0
frame1749.png;1;(236, 179);(267, 163);34.9
frame1826.png;0;-1;-1;-1
frame1832.png;0;-1;-1;-1
frame1882.png;1;(203, 276);(228, 277);25.0
frame1869.png;1;(252, 230);(309, 233);57.1
frame1855.png;1;(221, 224);(273, 208);54.4
frame1841.png;0;-1;-1;-1
frame1712.png;0;-1;-1;-1
frame1713.png;0;-1;-1;-1
frame1840.png;1;(230, 323);(272, 327);42.2
frame1854.png;1;(210, 241);(250, 217);46.6
frame1868.png;1;(241, 249);(277, 244);36.3
frame1881.png;1;(209, 258);(233, 254);24.3
frame1842.png;1;(221, 267);(282, 263);61.1
frame1856.png;1;(228, 210);(293, 198);66.1
frame1711.png;0;-1;-1;-1
frame1739.png;1;(239, 176);(273, 157);38.9
frame1738.png;1;(236, 174);(268, 156);36.7
frame1710.png;0;-1;-1;-1
frame1857.png;1;(231, 199);(306, 188);75.8
frame1843.png;1;(232, 242);(285, 225);55.7
frame1880.png;1;(211, 249);(231, 245);20.4
frame1847.png;1;(229, 209);(284, 195);56.8
frame1853.png;1;(214, 249);(260, 233);48.7
frame1728.png;1;(250, 172);(287, 154);41.1
frame1714.png;0;-1;-1;-1
frame1715.png;0;-1;-1;-1
frame1729.png;1;(249, 166);(287, 149);41.6
frame1852.png;1;(223, 257);(265, 253);42.2
frame1846.png;1;(228, 212);(278, 196);52.5
frame1850.png;1;(234, 264);(280, 254);47.1
frame1844.png;1;(230, 205);(281, 190);53.2
frame1878.png;1;(212, 249);(229, 249);17.0
frame1717.png;1;(280, 182);(409, 150);132.9
frame1716.png;1;(282, 180);(408, 154);128.7
frame1879.png;1;(213, 252);(232, 252);19.0
frame1845.png;1;(230, 197);(275, 186);46.3
frame1851.png;1;(234, 259);(278, 258);44.0
frame1848.png;1;(232, 221);(289, 216);57.2
frame1874.png;1;(228, 241);(265, 243);37.1
frame1860.png;1;(232, 196);(288, 178);58.8
frame1727.png;1;(249, 166);(282, 147);38.1
frame1733.png;1;(246, 169);(285, 151);43.0
frame1732.png;1;(242, 170);(284, 149);47.0
frame1726.png;1;(251, 163);(289, 144);42.5
frame1861.png;1;(231, 197);(297, 181);67.9
frame1875.png;1;(228, 234);(256, 235);28.0
frame1849.png;1;(235, 231);(288, 227);53.2
frame1863.png;1;(239, 194);(290, 185);51.8
frame1877.png;1;(214, 249);(238, 245);24.3
frame1730.png;1;(248, 170);(284, 152);40.2
frame1724.png;1;(250, 176);(289, 157);43.4
frame1718.png;1;(268, 173);(374, 137);111.9
frame1719.png;1;(269, 175);(364, 140);101.2
frame1725.png;1;(251, 170);(289, 152);42.0
frame1731.png;1;(248, 172);(287, 152);43.8
frame1876.png;1;(218, 238);(238, 240);20.1
frame1862.png;1;(234, 196);(291, 188);57.6
frame1866.png;1;(241, 215);(284, 215);43.0
frame1872.png;1;(237, 227);(283, 225);46.0
frame1709.png;0;-1;-1;-1
frame1735.png;1;(242, 171);(280, 151);42.9
frame1721.png;1;(265, 183);(333, 154);73.9
frame1720.png;1;(269, 173);(335, 140);73.8
frame1734.png;1;(243, 175);(280, 156);41.6
frame1708.png;0;-1;-1;-1
frame1873.png;1;(231, 234);(262, 232);31.1
