file;p
frame13471.png;(250, 152)
frame13474.png;(258, 154)
frame13421.png;(220, 154)
frame13455.png;(228, 150)
frame13470.png;(250, 148)
frame13425.png;(216, 155)
frame13342.png;(217, 131)
frame13257.png;(145, 124)
frame13323.png;(206, 132)
frame13456.png;(-1, -1)
frame13476.png;(-1, -1)
frame13453.png;(229, 138)
frame13383.png;(208, 140)
frame13392.png;(206, 143)
frame13448.png;(240, 138)
frame13245.png;(172, 140)
frame13427.png;(213, 160)
frame13485.png;(234, 145)
frame13306.png;(144, 121)
frame13363.png;(208, 135)
frame13391.png;(204, 141)
frame13350.png;(197, 130)
frame13267.png;(151, 122)
frame13336.png;(204, 131)
frame13314.png;(152, 124)
frame13321.png;(207, 132)
frame13338.png;(209, 131)
frame13384.png;(209, 139)
frame13435.png;(213, 175)
frame13408.png;(216, 149)
frame13385.png;(210, 140)
frame13426.png;(215, 155)
frame13406.png;(215, 150)
frame13449.png;(-1, -1)
frame13443.png;(262, 137)
frame13463.png;(-1, -1)
frame13244.png;(184, 160)
frame13354.png;(200, 130)
frame13312.png;(193, 122)
frame13266.png;(192, 121)
frame13483.png;(222, 153)
frame13460.png;(233, 144)
frame13269.png;(190, 121)
frame13322.png;(206, 131)
frame13307.png;(155, 121)
frame13278.png;(135, 118)
frame13291.png;(132, 124)
frame13241.png;(201, 162)
frame13313.png;(194, 123)
frame13457.png;(256, 150)
frame13387.png;(206, 140)
frame13333.png;(204, 131)
frame13292.png;(123, 123)
frame13368.png;(209, 147)
frame13473.png;(249, 156)
frame13344.png;(220, 131)
frame13378.png;(206, 136)
frame13410.png;(215, 150)
frame13467.png;(255, 148)
frame13334.png;(205, 131)
frame13246.png;(169, 124)
frame13451.png;(-1, -1)
frame13332.png;(205, 131)
frame13352.png;(195, 131)
frame13409.png;(214, 150)
frame13452.png;(-1, -1)
frame13298.png;(165, 112)
frame13469.png;(253, 147)
frame13260.png;(155, 121)
frame13273.png;(191, 116)
frame13308.png;(145, 121)
frame13447.png;(249, 136)
frame13327.png;(203, 129)
frame13326.png;(203, 130)
frame13437.png;(233, 164)
frame13346.png;(222, 132)
frame13261.png;(154, 119)
frame13482.png;(225, 160)
frame13465.png;(238, 151)
frame13258.png;(154, 126)
frame13464.png;(220, 152)
frame13486.png;(231, 149)
frame13487.png;(223, 149)
frame13263.png;(149, 121)
frame13232.png;(185, 171)
frame13407.png;(216, 150)
frame13396.png;(218, 152)
frame13413.png;(218, 154)
frame13325.png;(204, 131)
frame13481.png;(225, 164)
frame13329.png;(206, 133)
frame13303.png;(154, 118)
frame13274.png;(150, 117)
frame13438.png;(217, 158)
frame13317.png;(149, 127)
frame13361.png;(209, 133)
frame13440.png;(226, 145)
