file;valid;p1;p2;dist
frame3562.png;1;(452, 223);(493, 285);74.3
frame3576.png;1;(462, 182);(481, 222);44.3
frame3589.png;1;(498, 143);(528, 193);58.3
frame3760.png;1;(327, 291);(329, 339);48.0
frame3774.png;1;(343, 253);(347, 301);48.2
frame3748.png;1;(323, 314);(325, 362);48.0
frame3614.png;1;(435, 231);(466, 285);62.3
frame3600.png;1;(477, 147);(500, 201);58.7
frame3628.png;0;-1;-1;-1
frame3629.png;0;-1;-1;-1
frame3601.png;1;(484, 153);(505, 195);47.0
frame3615.png;1;(407, 224);(436, 270);54.4
frame3749.png;1;(328, 312);(330, 360);48.0
frame3775.png;1;(343, 251);(346, 296);45.1
frame3761.png;1;(331, 285);(333, 332);47.0
frame3588.png;1;(497, 142);(525, 189);54.7
frame3577.png;1;(418, 185);(445, 229);51.6
frame3563.png;1;(446, 214);(476, 253);49.2
frame3575.png;1;(465, 184);(487, 219);41.3
frame3561.png;1;(434, 225);(475, 295);81.1
frame3549.png;1;(422, 199);(451, 237);47.8
frame3777.png;1;(331, 251);(332, 286);35.0
frame3763.png;1;(335, 276);(340, 328);52.2
frame3788.png;1;(350, 218);(353, 270);52.1
frame3603.png;1;(408, 170);(437, 213);51.9
frame3617.png;1;(399, 218);(418, 249);36.4
frame3616.png;1;(399, 218);(426, 262);51.6
frame3602.png;1;(487, 160);(514, 201);49.1
frame3789.png;1;(342, 213);(345, 261);48.1
frame3762.png;1;(333, 281);(337, 332);51.2
frame3776.png;1;(339, 251);(345, 294);43.4
frame3548.png;1;(433, 204);(463, 256);60.0
frame3560.png;1;(416, 213);(451, 275);71.2
frame3574.png;1;(474, 185);(497, 218);40.2
frame3558.png;1;(405, 194);(430, 243);55.0
frame3570.png;1;(404, 187);(427, 223);42.7
frame3564.png;1;(436, 208);(463, 246);46.6
frame3772.png;1;(346, 256);(349, 304);48.1
frame3766.png;1;(336, 271);(338, 316);45.0
frame3799.png;1;(336, 184);(339, 234);50.1
frame3606.png;1;(497, 163);(516, 192);34.7
frame3612.png;1;(427, 224);(463, 288);73.4
frame3809.png;1;(338, 182);(343, 236);54.2
frame3808.png;1;(338, 180);(343, 231);51.2
frame3613.png;1;(435, 234);(467, 292);66.2
frame3607.png;1;(456, 159);(474, 189);35.0
frame3798.png;1;(340, 182);(336, 207);25.3
frame3767.png;1;(337, 270);(339, 318);48.0
frame3773.png;1;(349, 254);(353, 303);49.2
frame3565.png;1;(432, 204);(460, 243);48.0
frame3571.png;1;(406, 184);(426, 221);42.1
frame3559.png;1;(407, 201);(438, 245);53.8
frame3567.png;1;(420, 192);(443, 229);43.6
frame3573.png;1;(405, 185);(426, 218);39.1
frame3598.png;1;(475, 147);(483, 155);11.3
frame3759.png;1;(329, 297);(336, 343);46.5
frame3765.png;1;(330, 271);(333, 324);53.1
frame3771.png;1;(340, 258);(346, 310);52.3
frame3639.png;0;-1;-1;-1
frame3611.png;1;(418, 199);(455, 254);66.3
frame3605.png;1;(411, 167);(433, 199);38.8
frame3604.png;1;(421, 172);(444, 207);41.9
frame3610.png;1;(414, 192);(442, 241);56.4
frame3638.png;0;-1;-1;-1
frame3770.png;1;(343, 260);(346, 310);50.1
frame3764.png;1;(330, 276);(332, 326);50.0
frame3758.png;1;(341, 297);(344, 347);50.1
frame3599.png;1;(471, 148);(477, 163);16.2
frame3572.png;1;(403, 187);(423, 220);38.6
frame3566.png;1;(431, 199);(451, 228);35.2
frame3529.png;0;-1;-1;-1
frame3703.png;1;(340, 323);(348, 391);68.5
frame3717.png;1;(350, 335);(361, 408);73.8
frame3677.png;0;-1;-1;-1
frame3663.png;0;-1;-1;-1
frame3688.png;0;-1;-1;-1
frame3689.png;0;-1;-1;-1
frame3662.png;0;-1;-1;-1
frame3676.png;0;-1;-1;-1
frame3716.png;1;(342, 341);(354, 412);72.0
frame3702.png;1;(392, 307);(400, 369);62.5
frame3528.png;0;-1;-1;-1
frame3714.png;1;(334, 340);(341, 415);75.3
frame3700.png;1;(340, 305);(349, 367);62.6
frame3728.png;1;(357, 345);(364, 434);89.3
frame3660.png;0;-1;-1;-1
frame3674.png;0;-1;-1;-1
frame3648.png;0;-1;-1;-1
frame3649.png;0;-1;-1;-1
frame3675.png;0;-1;-1;-1
frame3661.png;0;-1;-1;-1
frame3729.png;1;(348, 339);(355, 432);93.3
frame3701.png;1;(399, 304);(411, 367);64.1
frame3715.png;1;(335, 343);(341, 417);74.2
frame3739.png;1;(329, 326);(335, 386);60.3
frame3711.png;1;(350, 331);(365, 416);86.3
frame3705.png;1;(347, 325);(357, 399);74.7
frame3659.png;0;-1;-1;-1
frame3665.png;0;-1;-1;-1
frame3671.png;0;-1;-1;-1
frame3670.png;0;-1;-1;-1
frame3664.png;0;-1;-1;-1
frame3658.png;0;-1;-1;-1
frame3704.png;1;(381, 321);(394, 394);74.1
frame3710.png;1;(355, 325);(368, 405);81.0
frame3738.png;1;(338, 329);(342, 395);66.1
frame3538.png;0;-1;-1;-1
frame3706.png;1;(328, 327);(336, 401);74.4
frame3712.png;1;(410, 333);(422, 418);85.8
frame3672.png;0;-1;-1;-1
frame3666.png;0;-1;-1;-1
frame3699.png;1;(345, 306);(350, 361);55.2
frame3698.png;1;(444, 302);(459, 364);63.8
frame3667.png;1;(389, 195);(404, 222);30.9
frame3673.png;0;-1;-1;-1
frame3713.png;1;(363, 330);(376, 425);95.9
frame3707.png;1;(330, 325);(340, 404);79.6
frame3539.png;0;-1;-1;-1
frame3534.png;0;-1;-1;-1
frame3722.png;1;(360, 342);(373, 433);91.9
frame3736.png;1;(344, 345);(348, 424);79.1
frame3656.png;0;-1;-1;-1
frame3642.png;0;-1;-1;-1
frame3695.png;1;(423, 307);(436, 368);62.4
frame3681.png;1;(384, 238);(413, 341);107.0
frame3680.png;1;(375, 234);(402, 330);99.7
frame3694.png;1;(445, 304);(460, 367);64.8
frame3643.png;0;-1;-1;-1
frame3657.png;0;-1;-1;-1
frame3737.png;1;(342, 336);(349, 407);71.3
frame3723.png;1;(364, 344);(373, 431);87.5
frame3535.png;0;-1;-1;-1
frame3537.png;0;-1;-1;-1
frame3735.png;1;(348, 349);(356, 434);85.4
frame3721.png;1;(356, 345);(364, 435);90.4
frame3709.png;1;(350, 327);(363, 405);79.1
frame3641.png;0;-1;-1;-1
frame3655.png;0;-1;-1;-1
frame3669.png;0;-1;-1;-1
frame3682.png;0;-1;-1;-1
frame3696.png;1;(379, 305);(390, 365);61.0
frame3697.png;0;-1;-1;-1
frame3683.png;0;-1;-1;-1
frame3668.png;0;-1;-1;-1
frame3654.png;0;-1;-1;-1
frame3640.png;0;-1;-1;-1
frame3708.png;1;(345, 325);(357, 400);76.0
frame3720.png;1;(353, 345);(361, 425);80.4
frame3734.png;1;(353, 354);(360, 443);89.3
frame3536.png;0;-1;-1;-1
frame3532.png;0;-1;-1;-1
frame3718.png;1;(359, 335);(365, 407);72.2
frame3730.png;1;(337, 337);(345, 432);95.3
frame3724.png;1;(357, 346);(365, 435);89.4
frame3678.png;0;-1;-1;-1
frame3644.png;0;-1;-1;-1
frame3650.png;0;-1;-1;-1
frame3687.png;0;-1;-1;-1
frame3693.png;0;-1;-1;-1
frame3692.png;0;-1;-1;-1
frame3686.png;0;-1;-1;-1
frame3651.png;0;-1;-1;-1
frame3645.png;0;-1;-1;-1
frame3679.png;1;(373, 224);(398, 302);81.9
frame3725.png;1;(359, 348);(368, 439);91.4
frame3731.png;1;(338, 337);(345, 430);93.3
frame3719.png;1;(351, 339);(359, 417);78.4
frame3533.png;0;-1;-1;-1
frame3531.png;0;-1;-1;-1
frame3727.png;1;(360, 343);(371, 436);93.6
frame3733.png;1;(346, 354);(353, 441);87.3
frame3653.png;0;-1;-1;-1
frame3647.png;0;-1;-1;-1
frame3690.png;0;-1;-1;-1
frame3684.png;0;-1;-1;-1
frame3685.png;0;-1;-1;-1
frame3691.png;0;-1;-1;-1
frame3646.png;0;-1;-1;-1
frame3652.png;0;-1;-1;-1
frame3732.png;1;(343, 353);(353, 448);95.5
frame3726.png;1;(353, 346);(360, 438);92.3
frame3530.png;0;-1;-1;-1
frame3543.png;0;-1;-1;-1
frame3557.png;1;(409, 192);(436, 235);50.8
frame3580.png;1;(432, 174);(459, 212);46.6
frame3594.png;1;(475, 142);(489, 182);42.4
frame3741.png;1;(324, 326);(325, 380);54.0
frame3755.png;1;(339, 301);(341, 341);40.0
frame3769.png;1;(336, 264);(340, 313);49.2
frame3782.png;1;(334, 239);(337, 276);37.1
frame3796.png;1;(359, 184);(368, 248);64.6
frame3635.png;0;-1;-1;-1
frame3621.png;1;(389, 226);(409, 245);27.6
frame3609.png;1;(414, 186);(437, 221);41.9
frame3812.png;1;(342, 178);(347, 223);45.3
frame3806.png;1;(342, 179);(344, 221);42.0
frame3807.png;1;(339, 182);(342, 225);43.1
frame3813.png;1;(351, 177);(354, 222);45.1
frame3608.png;1;(409, 164);(433, 195);39.2
frame3620.png;1;(400, 221);(421, 258);42.5
frame3634.png;0;-1;-1;-1
frame3797.png;1;(347, 182);(353, 241);59.3
frame3783.png;1;(332, 240);(332, 277);37.0
frame3768.png;1;(341, 265);(344, 314);49.1
frame3754.png;1;(333, 301);(332, 345);44.0
frame3740.png;1;(329, 328);(332, 382);54.1
frame3595.png;1;(474, 144);(487, 177);35.5
frame3581.png;1;(423, 162);(452, 208);54.4
frame3556.png;1;(411, 193);(434, 238);50.5
frame3542.png;1;(437, 225);(480, 305);90.8
frame3554.png;1;(411, 199);(437, 247);54.6
frame3540.png;0;-1;-1;-1
frame3568.png;1;(409, 190);(433, 226);43.3
frame3597.png;1;(474, 144);(488, 171);30.4
frame3583.png;1;(415, 151);(444, 195);52.7
frame3756.png;1;(339, 298);(345, 345);47.4
frame3742.png;1;(324, 326);(324, 377);51.0
frame3795.png;1;(364, 191);(376, 256);66.1
frame3781.png;1;(318, 242);(318, 277);35.0
frame3622.png;1;(382, 232);(407, 277);51.5
frame3636.png;1;(387, 274);(400, 321);48.8
frame3805.png;1;(340, 181);(341, 213);32.0
frame3811.png;1;(347, 179);(355, 233);54.6
frame3810.png;1;(344, 182);(350, 235);53.3
frame3804.png;1;(342, 184);(341, 221);37.0
frame3637.png;1;(386, 271);(396, 317);47.1
frame3623.png;0;-1;-1;-1
frame3780.png;1;(319, 241);(320, 276);35.0
frame3794.png;1;(372, 189);(380, 247);58.5
frame3743.png;1;(319, 322);(322, 370);48.1
frame3757.png;1;(340, 299);(337, 319);20.2
