file;p
frame4219.png;(115, 148)
frame4231.png;(102, 153)
frame4225.png;(100, 153)
frame3984.png;(176, 104)
frame4033.png;(111, 164)
frame4755.png;(149, 147)
frame4741.png;(167, 121)
frame3990.png;(184, 126)
frame4027.png;(119, 170)
frame3947.png;(137, 149)
frame4796.png;(127, 193)
frame3953.png;(120, 142)
frame4635.png;(198, 136)
frame4153.png;(154, 139)
frame4806.png;(122, 168)
frame3833.png;(174, 115)
frame3827.png;(160, 113)
frame4379.png;(154, 124)
frame4345.png;(120, 147)
frame4351.png;(119, 146)
frame4437.png;(105, 91)
frame4350.png;(119, 146)
frame4436.png;(102, 93)
frame4344.png;(119, 149)
frame4378.png;(141, 126)
frame3826.png;(163, 113)
frame3832.png;(164, 113)
frame4807.png;(142, 175)
frame4152.png;(159, 136)
frame3952.png;(123, 146)
frame3946.png;(148, 143)
frame4797.png;(120, 189)
frame4740.png;(167, 120)
frame4026.png;(128, 174)
frame3991.png;(194, 131)
frame4032.png;(109, 161)
frame3985.png;(172, 105)
frame4754.png;(166, 139)
frame4224.png;(104, 151)
frame4230.png;(103, 153)
frame4218.png;(118, 145)
frame4226.png;(101, 152)
frame4232.png;(104, 153)
frame4583.png;(180, 124)
frame4024.png;(152, 178)
frame4756.png;(127, 153)
frame3987.png;(162, 108)
frame4030.png;(109, 152)
frame3950.png;(128, 153)
frame4795.png;(140, 190)
frame3944.png;(159, 137)
frame4178.png;(156, 156)
frame4150.png;(167, 138)
frame4636.png;(192, 136)
frame3818.png;(176, 116)
frame4805.png;(142, 161)
frame3824.png;(166, 114)
frame3830.png;(162, 114)
frame4408.png;(150, 91)
frame4434.png;(108, 96)
frame4352.png;(122, 145)
frame4346.png;(124, 147)
frame4384.png;(170, 117)
frame4347.png;(122, 147)
frame4435.png;(103, 95)
frame4353.png;(124, 143)
frame4409.png;(136, 90)
frame3831.png;(162, 113)
frame3825.png;(166, 114)
frame3819.png;(175, 117)
frame4623.png;(188, 130)
frame4151.png;(162, 136)
frame4637.png;(201, 135)
frame4179.png;(142, 158)
frame3945.png;(152, 140)
frame3951.png;(126, 150)
frame4757.png;(116, 154)
frame4031.png;(111, 156)
frame3986.png;(165, 105)
frame4025.png;(144, 177)
frame4582.png;(181, 122)
frame4233.png;(106, 153)
frame4227.png;(103, 155)
frame4223.png;(106, 150)
frame4237.png;(107, 154)
frame4586.png;(184, 123)
frame3982.png;(181, 109)
frame4035.png;(115, 165)
frame4009.png;(147, 173)
frame3955.png;(126, 133)
frame3941.png;(157, 135)
frame3969.png;(138, 135)
frame4155.png;(150, 146)
frame4169.png;(124, 150)
frame3821.png;(175, 116)
frame3835.png;(177, 114)
frame4800.png;(113, 175)
frame4357.png;(124, 145)
frame4431.png;(118, 97)
frame4343.png;(118, 149)
frame4380.png;(152, 123)
frame4381.png;(154, 124)
frame4395.png;(137, 95)
frame4342.png;(119, 147)
frame4356.png;(122, 145)
frame4430.png;(132, 95)
frame4801.png;(123, 175)
frame3834.png;(175, 114)
frame3820.png;(175, 117)
frame4168.png;(120, 157)
frame4140.png;(184, 130)
frame4154.png;(152, 143)
frame3968.png;(132, 130)
frame3940.png;(154, 136)
frame3954.png;(123, 138)
frame4008.png;(141, 172)
frame4034.png;(107, 166)
frame4236.png;(110, 153)
frame4222.png;(104, 151)
frame4234.png;(108, 154)
frame4220.png;(106, 148)
frame4208.png;(64, 149)
frame4585.png;(184, 123)
frame3981.png;(188, 114)
frame4036.png;(123, 163)
frame4778.png;(151, 183)
frame3942.png;(161, 135)
frame3956.png;(126, 129)
frame4156.png;(146, 151)
frame3836.png;(178, 115)
frame3822.png;(173, 116)
frame4340.png;(118, 150)
frame4432.png;(127, 97)
frame4354.png;(124, 144)
frame4383.png;(162, 119)
frame4397.png;(122, 93)
frame4396.png;(132, 94)
frame4382.png;(158, 122)
frame4369.png;(136, 119)
frame4355.png;(126, 145)
frame4341.png;(120, 149)
frame3823.png;(172, 115)
frame3837.png;(179, 115)
frame4157.png;(136, 154)
frame3957.png;(128, 128)
frame3943.png;(163, 136)
frame4779.png;(142, 180)
frame4037.png;(128, 163)
frame4584.png;(182, 123)
frame4209.png;(61, 147)
frame4221.png;(108, 150)
frame4235.png;(107, 153)
frame4508.png;(143, 149)
frame4252.png;(103, 154)
frame4520.png;(153, 156)
frame4246.png;(105, 155)
frame4291.png;(99, 158)
frame4285.png;(100, 157)
frame4078.png;(118, 148)
frame4736.png;(164, 119)
frame4050.png;(107, 171)
frame4044.png;(88, 176)
frame4722.png;(146, 125)
frame3918.png;(164, 127)
frame4093.png;(169, 164)
frame3924.png;(135, 154)
frame3930.png;(114, 158)
frame4118.png;(155, 134)
frame4642.png;(167, 134)
frame4130.png;(182, 138)
frame4656.png;(167, 139)
frame3878.png;(158, 109)
frame3850.png;(157, 110)
frame3844.png;(164, 106)
frame4468.png;(134, 136)
frame4326.png;(117, 149)
frame4440.png;(101, 94)
frame4454.png;(109, 84)
frame4332.png;(119, 150)
frame4497.png;(146, 162)
frame4496.png;(152, 163)
frame4333.png;(117, 148)
frame4327.png;(118, 149)
frame4441.png;(118, 98)
frame4469.png;(134, 137)
frame3845.png;(163, 104)
frame3851.png;(160, 112)
frame3879.png;(156, 109)
frame4131.png;(175, 136)
frame4657.png;(168, 139)
frame4643.png;(167, 133)
frame3931.png;(114, 158)
frame3925.png;(132, 155)
frame4092.png;(163, 169)
frame3919.png;(166, 135)
frame4045.png;(81, 181)
frame4723.png;(146, 124)
frame4737.png;(165, 121)
frame4051.png;(117, 170)
frame4079.png;(116, 144)
frame4284.png;(101, 158)
frame4290.png;(97, 158)
frame4247.png;(103, 156)
frame4253.png;(102, 154)
frame4535.png;(106, 172)
frame4509.png;(146, 148)
frame4279.png;(97, 158)
frame4245.png;(104, 154)
frame4537.png;(143, 164)
frame4251.png;(103, 154)
frame4286.png;(99, 158)
frame4292.png;(100, 158)
frame4721.png;(149, 125)
frame4047.png;(75, 183)
frame4053.png;(123, 168)
frame4735.png;(162, 120)
frame4084.png;(107, 182)
frame3933.png;(113, 149)
frame3927.png;(125, 158)
frame4655.png;(164, 138)
frame4133.png;(169, 130)
frame3884.png;(164, 107)
frame4641.png;(179, 140)
frame3847.png;(160, 107)
frame3853.png;(163, 122)
frame4319.png;(116, 151)
frame4331.png;(120, 150)
frame4325.png;(118, 150)
frame4495.png;(160, 165)
frame4324.png;(119, 149)
frame4330.png;(118, 149)
frame4318.png;(116, 152)
frame3852.png;(165, 118)
frame4161.png;(106, 151)
frame4256.png;(100, 155)
frame4732.png;(158, 118)
frame4734.png;(162, 120)
frame4504.png;(106, 162)
frame4728.png;(153, 120)
frame4162.png;(101, 148)
frame4475.png;(160, 127)
frame4280.png;(100, 158)
frame3874.png;(159, 112)
frame3958.png;(139, 127)
frame4476.png;(161, 131)
frame4513.png;(139, 155)
frame4302.png;(100, 159)
frame4173.png;(136, 165)
frame4320.png;(115, 151)
frame3988.png;(164, 113)
frame4312.png;(115, 153)
frame4254.png;(102, 153)
frame4648.png;(151, 142)
frame4452.png;(80, 90)
frame3967.png;(137, 125)
frame4277.png;(101, 158)
frame4077.png;(123, 155)
frame4649.png;(147, 142)
frame4360.png;(127, 146)
frame4269.png;(99, 157)
frame4517.png;(127, 160)
frame3904.png;(160, 126)
frame4255.png;(102, 154)
frame4211.png;(96, 151)
frame4739.png;(167, 120)
frame4403.png;(129, 92)
frame4309.png;(102, 157)
frame3828.png;(160, 113)
frame4404.png;(142, 93)
frame4313.png;(120, 151)
frame4661.png;(169, 138)
frame4653.png;(155, 138)
frame4135.png;(162, 121)
frame3928.png;(123, 159)
frame4241.png;(107, 153)
frame4258.png;(102, 154)
frame4202.png;(104, 170)
frame4205.png;(85, 162)
frame4646.png;(159, 139)
frame4163.png;(106, 146)
frame4160.png;(111, 153)
frame3938.png;(138, 136)
frame4474.png;(160, 127)
frame4808.png;(131, 179)
frame3935.png;(122, 142)
frame4363.png;(133, 142)
frame4322.png;(111, 153)
frame4066.png;(163, 159)
frame4727.png;(151, 121)
frame3849.png;(158, 110)
frame4518.png;(137, 157)
frame4762.png;(108, 150)
frame3859.png;(160, 132)
frame4042.png;(112, 167)
frame4373.png;(129, 118)
frame3872.png;(150, 109)
frame4002.png;(144, 174)
frame4764.png;(149, 145)
frame4043.png;(109, 167)
frame4720.png;(152, 125)
frame4270.png;(100, 156)
frame3862.png;(146, 130)
frame4659.png;(163, 140)
frame4029.png;(110, 154)
frame3870.png;(144, 107)
frame4281.png;(100, 158)
frame3965.png;(139, 118)
frame4117.png;(136, 129)
frame4166.png;(120, 145)
frame4159.png;(119, 154)
frame3898.png;(161, 114)
frame4167.png;(126, 151)
frame4470.png;(167, 137)
frame4243.png;(105, 154)
frame4665.png;(161, 137)
frame4652.png;(152, 139)
frame4063.png;(145, 169)
frame4299.png;(99, 159)
frame4065.png;(159, 162)
frame3959.png;(146, 126)
frame4317.png;(117, 150)
