file;p
frame6243.png;(145, 114)
frame6644.png;(190, 131)
frame6537.png;(150, 153)
frame6563.png;(180, 169)
frame6801.png;(210, 182)
frame6097.png;(168, 115)
frame6718.png;(189, 129)
frame6331.png;(165, 114)
frame7026.png;(178, 197)
frame6945.png;(199, 214)
frame5970.png;(139, 87)
frame6937.png;(233, 179)
frame6472.png;(140, 169)
frame6457.png;(198, 138)
frame6083.png;(148, 111)
frame6308.png;(170, 112)
frame6455.png;(202, 151)
frame6520.png;(173, 151)
frame6074.png;(151, 112)
frame6259.png;(148, 91)
frame5925.png;(106, 78)
frame6372.png;(179, 132)
frame6591.png;(145, 189)
frame5890.png;(-1, -1)
frame7004.png;(238, 180)
frame6851.png;(202, 199)
frame6119.png;(127, 97)
frame6380.png;(183, 139)
frame6190.png;(146, 103)
frame6000.png;(133, 76)
frame6879.png;(225, 214)
frame6724.png;(182, 141)
frame6886.png;(212, 200)
frame6763.png;(104, 226)
frame5953.png;(119, 78)
frame6581.png;(157, 177)
frame6484.png;(182, 161)
frame6930.png;(218, 203)
frame6622.png;(185, 126)
frame6026.png;(114, 69)
frame6370.png;(176, 131)
frame6939.png;(230, 181)
frame6268.png;(157, 111)
frame6508.png;(202, 129)
frame6825.png;(187, 171)
frame6302.png;(174, 120)
frame6706.png;(188, 111)
frame6759.png;(174, 210)
frame6185.png;(153, 102)
frame6252.png;(145, 101)
frame6555.png;(178, 159)
frame6477.png;(164, 161)
frame6261.png;(146, 88)
frame6187.png;(150, 102)
frame6807.png;(77, 142)
frame6798.png;(210, 205)
frame5871.png;(113, 102)
frame5816.png;(123, 74)
frame6120.png;(124, 98)
frame5934.png;(120, 75)
frame6004.png;(148, 74)
frame6942.png;(223, 192)
frame6843.png;(209, 200)
frame6448.png;(204, 153)
frame6381.png;(175, 139)
frame6552.png;(176, 152)
frame6729.png;(181, 137)
frame5933.png;(122, 76)
frame6908.png;(-1, -1)
frame6742.png;(218, 171)
frame6806.png;(127, 160)
frame6052.png;(147, 97)
frame6523.png;(170, 150)
frame5846.png;(100, 72)
frame6734.png;(200, 147)
frame5836.png;(118, 56)
frame6610.png;(177, 147)
frame6840.png;(214, 197)
frame6165.png;(149, 100)
frame6015.png;(142, 76)
frame6344.png;(169, 100)
frame5913.png;(114, 76)
frame6926.png;(208, 202)
frame6556.png;(178, 160)
frame6681.png;(193, 109)
frame6771.png;(-1, -1)
frame6496.png;(201, 150)
frame6916.png;(173, 222)
frame6635.png;(184, 107)
frame6403.png;(171, 147)
frame6319.png;(163, 112)
frame6347.png;(165, 94)
frame7012.png;(222, 191)
frame6662.png;(186, 113)
frame6369.png;(175, 131)
frame6544.png;(156, 154)
frame6966.png;(228, 213)
frame6823.png;(178, 181)
frame5949.png;(130, 85)
frame6345.png;(166, 97)
frame5849.png;(108, 96)
frame6146.png;(135, 100)
frame6027.png;(111, 67)
frame6773.png;(-1, -1)
frame6019.png;(150, 73)
frame6371.png;(181, 132)
frame6337.png;(174, 120)
frame6263.png;(147, 90)
frame5870.png;(116, 104)
frame6821.png;(172, 203)
frame5977.png;(125, 82)
frame6479.png;(165, 158)
frame6569.png;(152, 177)
frame6486.png;(183, 159)
