file;p
frame742.png;(173, 41)
frame232.png;(186, 167)
frame1177.png;(125, 94)
frame554.png;(180, 91)
frame540.png;(173, 112)
frame1163.png;(135, 92)
frame226.png;(203, 159)
frame568.png;(182, 93)
frame597.png;(171, 86)
frame583.png;(183, 94)
frame1188.png;(127, 94)
frame346.png;(165, 184)
frame408.png;(121, 33)
frame622.png;(170, 104)
frame144.png;(147, 162)
frame150.png;(144, 167)
frame636.png;(190, 92)
frame178.png;(166, 156)
frame187.png;(168, 181)
frame193.png;(165, 203)
frame805.png;(170, 47)
frame91.png;(139, 146)
frame811.png;(174, 46)
frame85.png;(138, 137)
frame84.png;(138, 134)
frame810.png;(170, 46)
frame90.png;(152, 142)
frame804.png;(170, 46)
frame192.png;(162, 195)
frame186.png;(163, 180)
frame179.png;(168, 167)
frame151.png;(140, 170)
frame637.png;(194, 98)
frame623.png;(175, 105)
frame145.png;(143, 163)
frame409.png;(132, 30)
frame353.png;(133, 90)
frame347.png;(159, 187)
frame1189.png;(129, 95)
frame582.png;(182, 95)
frame596.png;(179, 95)
frame569.png;(180, 94)
frame541.png;(174, 105)
frame227.png;(209, 150)
frame1162.png;(135, 93)
frame1176.png;(132, 95)
frame233.png;(175, 167)
frame555.png;(184, 92)
frame743.png;(172, 46)
frame741.png;(174, 37)
frame769.png;(183, 43)
frame1160.png;(135, 91)
frame225.png;(186, 170)
frame543.png;(176, 101)
frame557.png;(183, 100)
frame231.png;(189, 160)
frame1174.png;(131, 96)
frame219.png;(179, 173)
frame1148.png;(134, 94)
frame580.png;(187, 94)
frame594.png;(184, 95)
frame345.png;(165, 183)
frame635.png;(193, 92)
frame153.png;(138, 167)
frame147.png;(146, 166)
frame621.png;(167, 103)
frame609.png;(190, 108)
frame190.png;(162, 187)
frame184.png;(162, 173)
frame806.png;(170, 47)
frame92.png;(141, 143)
frame93.png;(147, 134)
frame807.png;(169, 47)
frame87.png;(143, 141)
frame185.png;(160, 177)
frame191.png;(160, 196)
frame608.png;(189, 109)
frame146.png;(149, 164)
frame620.png;(178, 101)
frame634.png;(193, 93)
frame152.png;(137, 171)
frame344.png;(163, 188)
frame595.png;(184, 96)
frame581.png;(188, 95)
frame1149.png;(134, 92)
frame218.png;(180, 171)
frame556.png;(182, 93)
frame1175.png;(131, 96)
frame230.png;(184, 149)
frame224.png;(182, 184)
frame1161.png;(136, 93)
frame542.png;(174, 101)
frame797.png;(170, 48)
frame768.png;(182, 43)
frame740.png;(174, 35)
frame744.png;(172, 44)
frame750.png;(175, 50)
frame1159.png;(136, 91)
frame546.png;(176, 99)
frame1165.png;(134, 93)
frame220.png;(175, 166)
frame234.png;(186, 170)
frame1171.png;(131, 97)
frame552.png;(178, 93)
frame585.png;(181, 92)
frame591.png;(184, 96)
frame1039.png;(126, 97)
frame354.png;(137, 77)
frame340.png;(167, 175)
frame618.png;(183, 111)
frame156.png;(144, 162)
frame630.png;(177, 108)
frame624.png;(172, 108)
frame142.png;(146, 160)
frame803.png;(171, 46)
frame97.png;(141, 138)
frame195.png;(164, 197)
frame181.png;(168, 152)
frame180.png;(164, 166)
frame194.png;(164, 200)
frame96.png;(149, 137)
frame802.png;(169, 47)
frame82.png;(136, 141)
frame625.png;(175, 118)
frame143.png;(145, 160)
frame1206.png;(151, 141)
frame157.png;(140, 165)
frame631.png;(183, 102)
