file;valid;p1;p2;dist
frame1253.png;0;-1;-1;-1.0
frame7607.png;0;-1;-1;-1.0
frame642.png;1;(189, 101);(170, 101);19.0
frame1744.png;1;(115, 86); (131, 77);35.4
frame1689.png;0;-1;-1;-1.0
frame7904.png;1;(165, 66); (164, 69);3.2
frame476.png;0;-1;-1;-1.0
frame3819.png;1;(175, 117);(235, 69);76.8
frame4403.png;1;(129, 92);(187, 36);80.6
frame842.png;0;-1;-1;-1.0
frame9008.png;1;(129, 92); (137, 93);8.1
frame9986.png;0;-1;-1;-1.0
frame3732.png;1;(180, 176); (185, 224);95.5
frame114.png;1;(144, 133);(142, 134);2.2
frame8920.png;1;(186, 123); (104, 183);101.6
frame7064.png;1;(202, 151); (187, 159);35.4
frame1657.png;0;-1;-1;-1.0
frame7403.png;0;-1;-1;-1.0
frame653.png;1;(191, 108);(173, 109);18.0
frame4362.png;1;(129, 143);(227, 67);124.0
frame7979.png;0;-1;-1;-1.0
frame7098.png;1;(205, 106); (180, 98);52.5
frame10113.png;1;(186, 90); (182, 89);4.1
frame7524.png;0;-1;-1;-1.0
frame3780.png;1;(169, 120); (169, 138);35.0
frame9187.png;1;(178, 101); (190, 97);12.6
frame1161.png;1;(136, 93);(138, 92);2.2
frame254.png;1;(166, 172);(159, 176);8.1
frame3731.png;1;(177, 168); (181, 215);93.3
frame8154.png;1;(177, 125); (229, 171);69.4
frame3756.png;1;(175, 149); (178, 172);47.4
frame811.png;1;(174, 46);(126, 68);52.8
frame3991.png;1;(194, 131);(281, 91);95.8
frame756.png;0;-1;-1;-1.0
frame1206.png;1;(151, 141);(156, 141);5.0
frame8780.png;1;(213, 85); (156, 126);70.2
frame9618.png;0;-1;-1;-1.0
frame7756.png;0;-1;-1;-1.0
frame8309.png;1;(202, 148); (123, 98);93.5
frame4731.png;1;(156, 120);(259, 75);112.4
frame7489.png;1;(231, 103); (247, 129);60.0
frame70.png;0;-1;-1;-1.0
frame9633.png;0;-1;-1;-1.0
frame4784.png;0;-1;-1;-1.0
frame8965.png;0;-1;-1;-1.0
frame7982.png;0;-1;-1;-1.0
frame8947.png;0;-1;-1;-1.0
frame1022.png;0;-1;-1;-1.0
frame1559.png;0;-1;-1;-1.0
frame7595.png;0;-1;-1;-1.0
frame8746.png;0;-1;-1;-1.0
frame7303.png;0;-1;-1;-1.0
frame8342.png;1;(222, 81); (181, 112);51.4
frame3886.png;0;-1;-1;-1.0
frame1544.png;0;-1;-1;-1.0
frame9863.png;1;(183, 92); (178, 91);5.1
frame1485.png;0;-1;-1;-1.0
frame9549.png;1;(181, 146); (167, 135);17.8
frame9174.png;0;-1;-1;-1.0
frame7518.png;1;(166, 159); (163, 153);6.7
frame529.png;1;(159, 70);(137, 77);23.1
frame241.png;1;(179, 189);(177, 188);2.2
frame9280.png;1;(137, 88); (138, 86);2.2
frame9662.png;0;-1;-1;-1.0
frame8839.png;1;(144, 92); (30, 152);128.8
frame8356.png;0;-1;-1;-1.0
frame8932.png;0;-1;-1;-1.0
frame9197.png;1;(144, 118); (150, 121);6.7
frame4094.png;1;(170, 157);(289, 99);132.4
frame623.png;1;(175, 105);(170, 106);5.1
frame3654.png;0;-1;-1;-1.0
frame9159.png;1;(186, 170); (184, 172);2.8
frame299.png;0;-1;-1;-1.0
frame3965.png;1;(139, 118);(175, 93);43.8
frame8381.png;0;-1;-1;-1.0
frame7637.png;0;-1;-1;-1.0
frame69.png;0;-1;-1;-1.0
frame4174.png;1;(147, 156);(231, 111);95.3
frame1268.png;0;-1;-1;-1.0
frame7907.png;1;(136, 151); (134, 151);2.0
frame4148.png;0;-1;-1;-1.0
frame3931.png;1;(114, 158);(180, 144);67.5
frame7721.png;0;-1;-1;-1.0
frame171.png;0;-1;-1;-1.0
frame8438.png;1;(162, 121); (213, 88);60.7
frame502.png;0;-1;-1;-1.0
frame3815.png;1;(181, 118);(245, 61);85.7
frame4138.png;1;(159, 115);(207, 81);58.8
frame9156.png;1;(176, 140); (162, 120);24.4
frame1718.png;1;(134, 86); (187, 68);111.9
